"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C2","2","0.1u","","","","Capacitor_SMD:C_1206_3216Metric","~"
"C3","1","50u","","","","Capacitor_SMD:C_1206_3216Metric","~"
"D1","1","LED_RGB","","","","LED_SMD:LED_RGB_PLCC-6","~"
"J1","1","Conn_01x02_Pin","","","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
"LS1","1","Speaker","","","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
"PICO_GEN1,PICO_MAIN1","2","RaspberryPi_Pico","","","","Module:RaspberryPi_Pico_Common_Unspecified","https://datasheets.raspberrypi.com/pico/pico-datasheet.pdf"
"Q1","1","2N3904","","","","Package_TO_SOT_THT:TO-92_Inline","https://www.onsemi.com/pub/Collateral/2N3903-D.PDF"
"R1","1","1k","","","","Resistor_SMD:R_1206_3216Metric","~"
"R2","1","100k","","","","Resistor_SMD:R_1206_3216Metric","~"
"R3","1","330","","","","Resistor_SMD:R_1206_3216Metric","~"
"SW1","1","Push_Button","","","","Button_Switch_THT:SW_PUSH_6mm",""
